Autoren	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017
(bhu)								8918,72	15289,24	15289,24	8918,72	10192,83	3822,31
(che)								17704,33	30350,28	30350,28	17704,33	20233,52	7587,57
(dapd)								238664,81	220305,98	220305,98	128511,82	146870,65	55076,50
(dapd) (dapd)								430319,89	397218,36	397218,36	231710,71	264812,24	99304,59
(dapd) (dpa)								214484,16	214484,16	214484,16	125115,76	142989,44	53621,04
(dapd) (dpa) (blz) (dpa)								1356050,07	1251738,53	1251738,53	730180,81	834492,35	312934,63
(dapd) (dpa) (dapd)								1168011,13	1078164,12	1078164,12	628929,07	718776,08	269541,03
(dpa)								5076916,27	3109143,67	3109143,67	1813667,14	2072762,45	777285,92
(es)								38470,32	65949,11	65949,11	38470,32	43966,07	16487,28
"(es); (ewh)"								627040,45	396025,55	396025,55	231014,90	264017,03	99006,39
(hspah)								11048,57	18940,40	18940,40	11048,57	12626,93	4735,10
(kaj.)								1282490,97	628906,88	628906,88	366862,34	419271,25	157226,72
"(kaj.;dpa) (big.)"								327769,35	437025,80	437025,80	254931,71	291350,53	109256,45
(kbe)								294162,50	113869,36	113869,36	66423,79	75912,90	28467,34
(krk)								9051,84	15517,44	15517,44	9051,84	10344,96	3879,36
(m.g.)								80603,14	403133,18	403133,18	235161,02	268755,45	100783,29
(m.t.)								62164,83	106568,29	106568,29	62164,83	71045,53	26642,07
(mae)							29438,26	304195,31	117753,02	117753,02	68689,26	78502,01	29438,26
(mm)								627657,54	259720,36	259720,36	151503,54	173146,91	64930,09
(msk.) (nes.) (nes.)								499686,13	374764,60	374764,60	218612,68	249843,06	93691,15
"(ox.) (kaj.;dpa) (big.)"								500189,68	666919,58	666919,58	389036,42	444613,05	166729,89
(rp)							353960,40	1828795,38	707920,79	707920,79	412953,80	471947,19	176980,20
(tsu)								46723,46	80097,36	80097,36	46723,46	53398,24	20024,34
*arlt, Bärbel*	247685,19	247685,19	5572916,67	866898,15	743055,56	371527,78	866898,15	3839120,37	1486111,11	1486111,11	866898,15	990740,74	371527,78
*blank, Gisela*	175968,11	351936,22	7918564,92	1231776,77	1055808,66	527904,33	1231776,77	5455011,39	2111617,31	2111617,31	1231776,77	1407744,87	527904,33
